usia;kelompok
16        ;Remaja              
47        ;Dewasa              
71        ;Tua                 
19        ;Pemuda              
21        ;Pemuda              
14        ;Remaja              
74        ;Tua                 
47        ;Dewasa              
2         ;Balita              
65        ;Tua                 
64        ;Tua                 
11        ;Kanak-kanak         
78        ;Tua                 
67        ;Tua                 
2         ;Balita              
65        ;Tua                 
67        ;Tua                 
75        ;Tua                 
31        ;Dewasa              
72        ;Tua                 
9         ;Kanak-kanak         
5         ;Balita              
25        ;Dewasa              
39        ;Dewasa              
20        ;Pemuda              
67        ;Tua                 
34        ;Dewasa              
46        ;Dewasa              
10        ;Kanak-kanak         
43        ;Dewasa              
65        ;Tua                 
37        ;Dewasa              
49        ;Dewasa              
68        ;Tua                 
3         ;Balita              
49        ;Dewasa              
2         ;Balita              
74        ;Tua                 
27        ;Dewasa              
19        ;Pemuda              
45        ;Dewasa              
20        ;Pemuda              
51        ;Dewasa              
28        ;Dewasa              
41        ;Dewasa              
30        ;Dewasa              
65        ;Tua                 
33        ;Dewasa              
10        ;Kanak-kanak         
53        ;Dewasa              
35        ;Dewasa              
11        ;Kanak-kanak         
74        ;Tua                 
47        ;Dewasa              
49        ;Dewasa              
31        ;Dewasa              
10        ;Kanak-kanak         
39        ;Dewasa              
5         ;Balita              
71        ;Tua                 
21        ;Pemuda              
1         ;Balita              
13        ;Remaja              
39        ;Dewasa              
31        ;Dewasa              
74        ;Tua                 
3         ;Balita              
64        ;Tua                 
48        ;Dewasa              
39        ;Dewasa              
80        ;Tua                 
24        ;Dewasa              
80        ;Tua                 
75        ;Tua                 
15        ;Remaja              
56        ;Tua                 
33        ;Dewasa              
12        ;Remaja              
31        ;Dewasa              
74        ;Tua                 
28        ;Dewasa              
24        ;Dewasa              
15        ;Remaja              
10        ;Kanak-kanak         
55        ;Tua                 
45        ;Dewasa              
60        ;Tua                 
8         ;Kanak-kanak         
14        ;Remaja              
61        ;Tua                 
73        ;Tua                 
19        ;Pemuda              
78        ;Tua                 
37        ;Dewasa              
60        ;Tua                 
62        ;Tua                 
37        ;Dewasa              
46        ;Dewasa              
23        ;Pemuda              
4         ;Balita              
